Date,^GSPC,r,f
1990-08-06,334.42999267578125,-0.03024413709566376,-0.9339474556589493
1990-08-07,334.8299865722656,0.001196046722018007,-0.9510371308389595
1990-08-08,338.3500061035156,0.010512856292488326,-0.6057639309743522
1990-08-09,339.94000244140625,0.004699264989533214,-0.3788281953871186
1990-08-10,335.5199890136719,-0.013002333929488685,-0.32761576612863025
1990-08-13,338.8399963378906,0.009895110374730898,0.2782433180930865
1990-08-14,339.3900146484375,0.0016232390405246377,0.28761470765755537
1990-08-15,340.05999755859375,0.001974079617074853,0.12184924879291162
1990-08-16,332.3900146484375,-0.022554793169504372,-0.3372553785911293
1990-08-17,327.8299865722656,-0.013718908135657792,-0.34501861098173586
1990-08-20,328.510009765625,0.002074316631219597,-0.5365561409647676
1990-08-21,321.8599853515625,-0.020242988695555852,-0.883474002199355
