ticker,factorDynamicsType,autocorr_lag_0,autocorr_lag_1,autocorr_lag_2,autocorr_lag_3,autocorr_lag_4,autocorr_lag_5,autocorr_lag_6,autocorr_lag_7,autocorr_lag_8,autocorr_lag_9,autocorr_lag_10,autocorr_lag_11,autocorr_lag_12,autocorr_lag_13,autocorr_lag_14,autocorr_lag_15,autocorr_lag_16,autocorr_lag_17,autocorr_lag_18,autocorr_lag_19
copper,GARCH,1.0,0.010988583246824066,-0.04921171777272852,-0.06420746350543957,-0.052733369589095185,0.29035379592477817,0.025195170081143685,0.00722830102953568,0.0171915789897586,-0.00685722173765788,-0.06907269204745316,-0.06106486427156255,-0.030598660811792026,0.02350817037206162,0.04675721926813053,-0.014689133971018955,-0.018507172797635047,-0.04268246500945928,-0.04711213029911842,-0.03548227254287866
copper,AR_TARCH,1.0,0.02452584748512629,-0.038074603581780386,-0.05875926258991936,-0.014198469702333514,0.2209143419761911,0.021482708803066845,0.01442644241952221,-0.011917853975777803,-0.009681242630240675,-0.05159914159760625,-0.0371750858244955,-0.02574276631833547,0.00841302988613506,0.03798590517541002,-0.026582791657446345,-0.012148804890892751,-0.033801421395733645,-0.05228640174149084,-0.03303903226942292
WTI,TARCH,1.0,0.0029148442985830023,-0.029948615810677294,-0.07922980829439587,-0.07473920769723265,0.28998149448501076,0.00027435688620136025,0.038820686172707584,0.0018359057894774666,-0.03561130923767125,-0.035756612413976985,-0.06964542173790876,-0.005032276823162368,0.0029058983184270587,0.02241449109438609,0.023342948605504902,-0.01807482430370738,-0.053254934992511174,-0.0626377634415119,-0.013892009005315481
WTI,AR,1.0,0.2505353188685017,0.2070088104677464,0.16140671412818208,0.20077759532895936,0.3982978361298097,0.21785879747660014,0.21196092783940826,0.1898027773322455,0.16636793440461314,0.16875316747709537,0.14626408700640128,0.18955603931193862,0.18060096593763408,0.18949999250704327,0.17724202918153914,0.14914152191558894,0.13345667715620588,0.15272040506725118,0.16353734030687517
WTI,SETAR,1.0,0.24788232362328202,0.2511946617713343,0.21728816967872017,0.20795081477873545,0.2564247832238742,0.19650141253355632,0.17967179125752228,0.17038493607122498,0.16561474942860357,0.18641364684488526,0.16465024152169458,0.1797511242853914,0.16064307783176368,0.16213665194014015,0.15827317112235517,0.1632075721257281,0.15835192559254505,0.16524687782538058,0.14445600529099054
WTI,GARCH,1.0,0.00420175088094599,-0.029017622674400795,-0.0783631638269784,-0.07385046389781172,0.2900781446211474,0.0007028991342478142,0.03967616975835489,0.002633672990889935,-0.035143601237185206,-0.03493933283784308,-0.06959460951056623,-0.004443593408788518,0.0035992339109453147,0.02325350622172268,0.02402933255529769,-0.01776286284177971,-0.05357048473546374,-0.06259238879651562,-0.013934934422063462
WTI,AR_TARCH,0.9999999999999998,0.01731143491860469,-0.009021819588874195,-0.04495704225424116,-0.04227508636129317,0.22656892726085556,-0.02038331465702374,0.017900861140770406,-0.006060018526241905,-0.044405958329506744,-0.019099556193685086,-0.052446623823892605,0.0002372802761895438,0.003819866031549903,0.007736566073883774,0.016823718942061736,-0.02277366661577481,-0.04249207841636404,-0.03498645054650372,-0.016552472955196768
gasoil,AR_TARCH,0.9999999999999999,-0.04530818905539773,-0.01220013518375287,-0.046185270925830885,-0.06675323088939748,0.18164980185276372,-0.033599756655827956,0.026680799039194597,0.004060581178723175,-0.04052003827607417,-0.037262896865763236,-0.029385811710607983,-0.01940668891265958,0.030034915006169678,0.02867863633438338,0.002708188545798583,-0.004082012398154308,-0.019460937495736342,-0.0038138331514769347,0.017754376165456453
gasoil,AR,0.9999999999999999,0.35844534243271514,0.37930025599874,0.3510771181268936,0.335221735811094,0.5356913162204203,0.23728150865475234,0.28725459481259813,0.24998707665642503,0.24648087882497313,0.24020986741247802,0.2597039282988934,0.2688381466271559,0.2638332863759762,0.26631040835455444,0.2582045195306534,0.2749460172287829,0.26189166406091174,0.24618896377493385,0.2625179666369775
gasoil,SETAR,1.0,0.2521362026947754,0.26134641640547934,0.25330501644533704,0.2771633776553435,0.2603351933874868,0.19531207702656483,0.2522354391607952,0.4481235860026071,0.16716026892441174,0.1813303399939047,0.18287749832810238,0.1855376209305315,0.184463676846385,0.19437580594903212,0.19470646957668566,0.20001525090901465,0.18226707284066831,0.16929983480764305,0.18403642452132965
